159.28250304631183 65.56201668423385 57.496144942471474 -6.808194630774365 2.5749785910449337		-143.6104528166181 49.65814314955872 76.58959854275075 -6.314507512148953 -4.653678516250143		93.80894127308946 13.48726482660557 20.739428129961386 -0.1696281714948104 2.547862003418496		-124.87295935075342 43.23719902960965 55.83963489682632 -3.781021823112818 -5.425422543364991		-26.59704131236485 52.27428662625808 79.9300438339999 7.824573134569584 -3.917748991366377		
112.65480089841867 65.41368209338333 48.4448759592263 -2.8320634591388294 6.785295898218201		-179.56704963048975 40.252157166179494 68.3120949645633 -6.878912898546371 -0.05198087176389098		65.66560411395007 36.88008686983915 33.189757134709915 2.4794219282535193 5.48253303418493		-83.48671322795985 28.334648600172546 31.108988392349698 0.5626715979269244 -4.928343886481525		19.17447978589586 29.833642226474353 42.45088711377234 4.978677202633739 1.7312727392769993		
119.72752919518248 52.49825561951484 32.4329408589654 -2.4714833870871202 4.328138288568757		156.19479507379438 15.158843750226652 31.18294121882817 -2.5690203457100877 1.1333517665529527		82.66946469784068 41.21875439756707 51.55350795188108 0.8446129478167258 6.565471308961288		-110.74251492265303 17.860428903309813 15.421159119332847 -0.9563710447983498 -2.52529392497576		44.13866514300315 27.263092946233968 42.77094122499397 3.5852363697151337 3.4790303347281246		
157.26044603466323 38.716354214092604 43.40120052292786 -4.680553135499998 1.961715496128115		92.51010359959128 33.18088783778682 63.441116693268846 -0.23072508551828402 5.263175272692263		123.52329293798752 34.45445841074004 30.251328099724667 -3.100909208002555 4.6808271015247165		-179.64663870419056 10.29912928149557 2.8530169204002576 -1.600084861052705 -0.009868357379996896		-15.456999408045844 30.689222646316683 35.112699567972 5.308816780375749 -1.4679753816436019		
137.76335748097446 48.82674956498326 50.696496699574354 -4.188885958208049 3.8031341866969117		114.7472600564269 21.20243743411459 39.39830696035337 -1.6034044570816366 3.478490641578632		-175.48499516123675 54.37142972689542 85.03450984219135 -6.61649719544896 -0.522473144755842		-90.20057749360058 27.411799541966584 13.978943247549196 -0.01426284691094085 -4.0742237768320875		-15.585156742194613 33.72305056224037 37.361571630871175 6.085382378397109 -1.6973700131951026		
80.4760704600176 44.205793705979836 29.65273042216439 0.9835903103360386 5.862661254048467		174.22234566202337 45.64968759398383 68.01046530113382 -7.203084683718383 0.7288245461333469		167.19814119118737 53.0954595457582 76.32247739896715 -7.378325632319195 1.6765661829907084		-74.76938876421318 46.896804973931175 52.91734510629357 1.9368152376695482 -7.113641105758071		2.0974287913023737 34.748657747566085 48.82884723007373 6.992151812635844 0.25607636616600854		
52.52165051518223 58.63333598880387 58.75177182413403 4.707636749937047 6.139914168159277		149.32837160187734 48.51230705430723 67.78254264506327 -6.160028616456532 3.653432861874878		129.07296169964957 80.40228374217543 95.98127730242155 -5.7718733278062295 7.109140476762151		-30.268976447693355 6.739878182086096 7.956930795955321 0.9884210544419966 -0.5768689112818702		32.27075783297215 19.247196796063633 31.203761402834036 2.797099768447067 1.7662556380655943		
92.11235011427027 48.584194120247226 44.571682774003165 -0.22453587523802 6.087593462403968		146.8921982068929 36.79023891813191 58.75528608095296 -4.755553010383084 3.101028821563657		124.18876844783017 74.1891536957541 103.53663390183449 -4.53034858189912 6.669017226623096		-14.846217482702983 45.530572461038766 64.78069101957375 6.086083513022643 -1.613265777397101		-45.19289067717732 11.05208431619107 15.006537557566306 1.3469063045268777 -1.3560059020892181		
118.5577483508362 65.77115508467762 64.84692409137728 -3.3003984367454695 6.063994573365941		178.44345602889408 45.8657111144139 68.62998828853347 -7.766285014172913 0.21103716590192662		148.52708003005625 44.048584730267784 67.25187709768407 -5.846350632944326 3.5788485340416494		-17.03072556740191 58.36673946369654 61.81506902879251 6.705650085712116 -2.054055724370453		-8.784779596479241 10.018280295945283 18.629566684650985 1.6913918616037356 -0.2613812334203474		
136.68819590022923 70.80128763197244 80.34378443923431 -6.012525446015501 5.668256515175622		-149.03612893042967 27.752212588218427 38.74166203108734 -3.9242093660629775 -2.35453628846433		132.72997838177645 57.4582715893956 91.86780662096002 -5.934585345104073 6.424500682253493		-18.166802192834023 51.23363729801958 47.68822369512067 7.034661423896283 -2.308363288005385		-40.07699821489169 20.544968747038325 26.70819393683778 2.858024565665962 -2.4047198481743117		
159.9657766564017 52.747547780919184 55.36492581069911 -6.610691492716032 2.410567628914181		-150.12876124523768 18.402309007242756 17.73210868650782 -2.866134970662486 -1.6461867947579847		142.59900112358935 67.41766009309671 98.02079048186974 -6.796812121248103 5.196743014371684		-28.610816748899207 50.81167540340208 69.60617067244095 6.6591252918491435 -3.6323040084091813		-74.70203708779873 43.89465886025795 70.96837335870701 1.7741441159256677 -6.486084673845564		
168.39152554721755 41.91429429122133 41.21239270410456 -4.861469762110521 0.9986657938064378		-151.01131008067546 43.90435334093838 60.89865136565432 -5.7866496043502895 -3.2060991693291236		142.26050099583853 62.54266324564947 70.550375723747 -6.917414465047028 5.354006961571236		-50.93035986618088 36.582144696289696 56.41634683076599 4.158863555953236 -5.123024453588023		-99.33274805320542 25.477754291127592 32.014916460701464 -0.7641633084252869 -4.649801142745951		
129.23619561852286 48.737189650015715 38.785781336998554 -3.1281450495156915 3.8305415559260267		-143.73674661659751 60.39725378077064 71.78872865414708 -6.532899918046919 -4.792444396199234		158.3618929096393 66.24200052427628 97.16609362821313 -7.190180413764418 2.8523270638216323		-65.484915426214 25.321549703459517 26.62275287586935 2.0497644863473545 -4.494661418765455		-64.21680234320003 12.583416944978557 17.490400454092153 0.9551585635061995 -1.9773199953926623		
121.85348785072159 44.060954092403215 47.86183895266238 -2.3702269558299425 3.814828257110597		-154.71269591904573 46.66446432221691 59.66676160937253 -7.042803427812751 -3.327208843067001		-177.62903078408291 59.04776109905161 78.90903344313678 -7.961929738514404 -0.3296625538652703		11.763686903939886 18.65998386845179 13.718044128172528 3.0896208722937564 0.6434120885351075		-49.08350907286002 5.084530723211777 19.488013084389493 0.5965074423938743 -0.6882266623822653		
42.65360664315334 46.132438930874656 38.171245213978224 4.570900466108465 4.211057975305189		-171.16054972176113 6.287511868871396 5.995117634703524 -1.2053100513032466 -0.18744173495103086		-132.36651542286162 62.36808041189917 99.05386872491108 -4.725681670181784 -5.181359715219911		44.03757388562191 25.551936237872567 36.110014918911084 3.2453875957724794 3.138150008022241		-78.52163849714931 8.975837432694155 26.659435527558866 0.2855758268317596 -1.4063684886388974		
38.29038476786421 49.406808776621524 63.43967806106312 5.0329762356414705 3.9734338861215273		-8.653218636281176 26.222678370965106 39.37213050625876 4.839711348745612 -0.7365363103446897		-167.78820113360604 48.91432990445071 69.13483936895905 -7.065897405774227 -1.529224254060733		26.09119127331468 50.983511559603095 70.58508331381957 6.298163592115833 3.084237923150744		-109.70975551998932 28.9867651840635 39.25483936180712 -1.6453967394798061 -4.592950613914877		
76.08207745967906 11.888989099983645 20.497957205099027 0.35299066255377815 1.424458161234173		-28.959424267941667 37.02045607399967 55.24468189259351 5.605613191325634 -3.102054632634922		-142.6325425327033 40.07161795426352 65.00854481696611 -4.9046659001203485 -3.745488031794284		-9.52576244947973 29.036293806835687 34.37198895533644 5.487499159593936 -0.9208291103494891		-157.65040620530596 27.010389864071286 44.6324606270816 -4.720782753645511 -1.9409093209501111		
-66.45126472577178 29.485165966885383 44.32125946565472 1.321998439343925 -3.0333298996184377		-53.402718739590256 44.13825996100929 56.57767928259225 3.943171683669892 -5.3100115548386855		124.56952230449632 8.150656382102033 3.875940559488159 -0.905747012636122 1.314450392748014		-41.432176230777095 39.101364979732374 45.36694378168488 4.999450179512962 -4.412600507718821		-90.57389840782785 30.33804438302418 50.291744089165284 -0.05020640610463131 -5.01224420938246		
-54.32369165121079 45.210324480538745 59.78085306752413 3.0258697625317774 -4.214619819245856		1.8705612271670051 26.37473855216233 32.92694329469713 3.882007170170835 0.12678269105388357		102.36707726108006 15.598319663900655 14.14761299367095 -0.6451334013579573 2.94229530474035		-63.28469456191246 51.251464988713984 67.94211031760491 3.7299417356415705 -7.41123095075974		-124.21012631540856 39.9293178657911 53.97309418056822 -3.7208767943596444 -5.473022997896826		
-16.339927835373885 39.02375102539718 43.60619513174505 4.260038756627767 -1.2489457231113428		3.063466065513099 61.859753937109 74.95465165161217 6.758129946014256 0.3616855072623887		3.688089934469607 14.181007559930574 37.61052541427473 2.7647882416116265 0.17821372365619648		-26.0443079296517 55.99170921563154 77.43433778652332 6.213892356922675 -3.0366684774883104		-148.77020100918602 53.17618572834103 74.94232855678098 -6.856847869187163 -4.157530389419196		
1.443523963909197 43.82626850503944 47.949862816430056 4.894093246066048 0.12332908468085413		32.177924382002494 68.44551674710883 80.72739953171393 6.797659253034043 4.277057657251563		18.788114739684254 30.937929856488225 53.84127710113605 5.469151207112704 1.8605850479569506		-29.35250536504387 40.17062884633663 46.170082707005406 5.594716990947316 -3.1463537303195532		163.11400369850546 46.01232579867207 62.78559704083149 -6.2482824377120165 1.8967053604290798		
64.86631704485862 31.790934965634612 23.563744182774734 1.6733504982277687 3.5667608365555377		29.705936854420592 41.54739919044013 60.4892841136882 5.262775845366597 3.0025571193652607		-34.82954897038729 26.18004062520675 42.87468198213882 3.6120189550606576 -2.5131822102952386		-153.3294057939677 38.37306096293397 49.47555644178155 -4.845938647030511 -2.4341378408557603		-161.69838328060817 19.698215764458173 21.70834199506351 -2.6211502590260576 -0.8669446190404021		
99.58884645824273 53.94799349329796 64.6906868997117 -1.2452435038760894 7.371047684078437		41.52893742229549 4.669736770590447 6.854937302091356 0.7581466105910005 0.6714343844462519		-53.355466745220006 10.018268908632633 14.723372235481362 1.160690241362069 -1.5603355852317977		166.10844998816066 58.3170326738469 68.00038408932804 -6.873969432667324 1.7000596302376563		-174.3455460555413 34.667534286230484 40.211662455401594 -5.177725728857799 -0.512649134274575		
41.65328142635563 36.749814136672555 53.607424132470186 4.420655136298787 3.9321987850430142		-54.28545832233698 13.400604343701056 19.24421919346953 1.6504381984971184 -2.2955981065318927		-49.64803448717183 30.144084358549488 31.783422993655396 3.532176179402714 -4.1573494861257		-145.8321187380302 60.955309805331 67.27272614267332 -6.207675847627806 -4.213646998636413		-172.75688407910877 42.88453055532275 51.210839240609744 -5.5835947754963255 -0.7096412577315663		
-15.50946991276753 35.347090125922584 51.61775777102996 4.888265124776272 -1.3565060126162065		-50.72228803481991 22.234008830641567 24.219186348983975 2.858611886654903 -3.4953144440283177		-106.97757290076792 20.524776051995985 20.781159699558486 -1.0505180530883111 -3.440906315130763		-111.18597056843075 62.921559921495465 81.18524918498004 -2.7569385006257234 -7.112977177199037		160.88527338455577 40.65847247898009 40.16315435883194 -5.1828069823886125 1.7961998249496482		
-39.56162458177854 48.93761655933745 57.438745655006606 4.452548311273706 -3.678447904985401		-128.44472837282882 6.9866850594200285 13.780133379241382 -0.8793767596257405 -1.1077198101287282		-124.09696612678157 12.145510275931391 21.22256606731333 -1.483463071090787 -2.1913157301399506		-105.47999935042992 56.67762923294301 63.43123982432777 -1.9374291560802663 -6.9956257717454005		163.72489150783287 62.61183835739562 69.6910037891944 -7.01279430584921 2.0473778392053723		
-80.96280268088515 25.85994056344297 28.577338863822405 0.5973714262643729 -3.7558716548623283		-90.45869322078568 27.954287556953634 38.379699152248506 -0.03872373070630337 -4.836912419400073		-106.92154270195381 27.2840835192781 45.67205008724569 -1.6358875289108372 -5.3770704861860015		-74.11274221211416 49.65256940860714 53.575205138330574 1.6678099542346119 -5.85983812954949		-156.720471254435 40.430790152547246 48.848931136106366 -4.331987682093895 -1.8638140713694564		
-177.43077250455738 22.866800380045284 35.563686774673116 -3.6098690774155995 -0.16198045092821417		-72.89901347917458 25.646601656843558 27.827758865561904 1.2124029625601294 -3.9407359907338018		-96.25280870020252 52.44070870534596 76.86056242480755 -1.053324484173606 -9.61348249994263		-34.200997065291965 68.5447206580097 72.49200180316971 4.887154943251729 -3.321431397067631		-86.60745963048755 44.42512317738545 45.136898865682525 0.3810616224395548 -6.428133203567449		
145.01621619080888 31.85228089189238 39.7480996130851 -4.329736870031533 3.0298885131791287		173.19917350050721 13.456980696248944 25.836729201815423 -2.134936136947507 0.2546069562399379		-73.7340980740994 44.80659967332685 67.4283721067789 2.161855106608591 -7.409333691461496		-65.99331546744092 75.94148073937288 70.6108575410083 3.348160081888363 -7.517730113208095		-110.03282926471057 47.787634774981015 56.59493195669236 -2.408322156825541 -6.605032877972571		
165.1034550933908 59.249398883861325 91.3164219232373 -7.2027903402582565 1.9160492325842224		13.419161153837871 30.354611294583723 45.09007714640718 4.65842543239181 1.1114399253319052		-80.16850386960583 43.69281550736698 68.08963953853188 1.4258139517961574 -8.227614288614179		-77.03630718823315 58.61926549763409 77.54526457195759 1.7475030191047478 -7.591210651805497		-109.90750763593351 65.97994406767928 81.72096429928932 -2.2959552644482977 -6.339910666680985		
139.40666697468265 69.40843540176672 95.72706153715778 -6.111914052782442 5.237310391012398		-6.533017561881396 78.5049508846572 98.69496164866364 8.439237136715702 -0.9664563104468911		-155.56847654474208 35.838664051446536 62.60596820747464 -6.601531240903304 -2.998967937413398		-49.97910899978502 57.623359102276986 89.01612074985579 4.296333720695438 -5.116381393141273		-123.37174419106013 40.1097118550652 56.165422064372905 -3.2860179859808096 -4.988859607953151		
123.96601295580213 48.967046536435454 59.82210923416985 -4.234024102811923 6.28523789143495		15.861795793636363 46.512006269018485 51.62391049392276 5.178924076909803 1.4715225788289361		-164.1112838333624 33.61885441860427 49.580027692118115 -5.080441991834976 -1.4461203013068071		-7.278075134204432 29.911396084703846 38.51309270578891 5.044910712223732 -0.6443058921428716		-153.36132028298798 38.523561552947285 40.731289924388506 -5.4951569268852465 -2.756411154584894		
153.98933360853948 56.03794743599217 68.56617806226244 -6.931048191649418 3.382095473010193		2.7054083279753125 60.77677466597565 72.90596640289984 7.556026836791552 0.3570480065477305		-115.16744091658796 24.812014440498864 35.5506000639629 -2.130913732088903 -4.535109801807905		-56.524785109859316 43.00614219747887 58.442155972591046 3.2927336088049883 -4.979456568683912		-169.19359228376547 8.051660982574854 18.400837522549775 -1.2802269601106127 -0.24436474216474585		
174.83401016554023 64.6181223683251 85.83390542611937 -8.21902846527819 0.7430713161284745		10.348291708195303 53.02534791341923 54.150599005983054 7.4389139219336196 1.3583577255828605		-120.19220782478814 41.24015464462297 53.881240899122716 -3.557501406848599 -6.11431195526348		-87.21199773104281 12.397132580123733 1.2995496833071205 0.09755711563020969 -2.0032977376252563		-163.1001422834042 40.23128928715806 53.05767983489735 -4.956830237114059 -1.505986727493498		
158.40136619689574 38.2611532054702 60.91124505642822 -6.4866117646920936 2.568052364592405		-5.533993079243826 30.65639079147138 27.723886478090837 4.976310062372902 -0.4821441041980842		-88.69810096350797 35.941893548070546 47.15901571943779 0.11790924923665538 -5.188220777310282		171.81350114326855 46.2389416981123 52.524089449839416 -6.08279071369708 0.8750804725521147		-141.09266225290574 34.744111704988434 33.64536205813492 -3.247809020828152 -2.621338334397952		
-148.0480184872673 6.086945359591219 10.750560121329865 -1.0155562629262225 -0.6334071558636625		19.02494258380864 32.12481957213927 32.306131867526574 4.752467201416224 1.63872021935335		-65.50799796387268 5.2891267910139215 4.294183827636479 0.3962650290188029 -0.8698459989641936		179.51425393894627 70.94151380433613 68.83225536591611 -7.962939512171242 0.06751036825126074		-97.13273997758688 24.684225769148217 32.21695683041279 -0.3765387198698911 -3.0090140135552357		
43.490431504034575 16.263806298527303 22.755694066981686 2.2146284935185143 2.100901173729672		60.339435145097276 41.911646499753566 61.37533142987327 3.2306263582328443 5.672959898037942		-122.70234905275919 22.728468313397823 16.56228762049116 -2.052156722809772 -3.196274352931787		-162.46680694324323 61.90620389085023 54.932048486018665 -7.485362185438517 -2.364894087795014		148.30721864422912 16.172265941432002 3.483601486493674 -1.5752009546851697 0.9725898002526779		
